ds,y
2024-04-19,7579
2024-04-20,6468
2024-04-21,7916
2024-04-22,7969
2024-04-23,7283
2024-04-24,8432
2024-04-25,11199
2024-04-26,8838
2024-04-27,8280
2024-04-28,9126
2024-04-29,10105
2024-04-30,8403
2024-05-01,6732
2024-05-02,7027
2024-05-03,11466
2024-05-04,10467
2024-05-05,8715
2024-05-06,9269
2024-05-07,14235
2024-05-08,10241
2024-05-09,10854
2024-05-10,9074
2024-05-11,9033
2024-05-12,8231
2024-05-13,9131
2024-05-14,11995
2024-05-15,8918
2024-05-16,8729
2024-05-17,8068
2024-05-18,7815
2024-05-19,7852
2024-05-20,8405
2024-05-21,8363
2024-05-22,7898
2024-05-23,7517
2024-05-24,7023
2024-05-25,7832
2024-05-26,7465
2024-05-27,7763
2024-05-28,8974
2024-05-29,8258
2024-05-30,9350
2024-05-31,8080
2024-06-01,7582
2024-06-02,7874
2024-06-03,7939
2024-06-04,8938
2024-06-05,9378
2024-06-06,12053
2024-06-07,12117
2024-06-08,8107
2024-06-09,8698
2024-06-10,7956
2024-06-11,9653
2024-06-12,9013
2024-06-13,10084
2024-06-14,24422
2024-06-15,9324
2024-06-16,7249
2024-06-17,8610
2024-06-18,8115
2024-06-19,8795
2024-06-20,7917
2024-06-21,7295
2024-06-22,6921
2024-06-23,9407
2024-06-24,9567
2024-06-25,8879
2024-06-26,9575
2024-06-27,8773
2024-06-28,10503
2024-06-29,10136
2024-06-30,14833
2024-07-01,15154
